,PassengerId,Ticket,Fare,Cabin,Embarked,Pclass
0,1,A/5 21171,7.25,,S,3
1,2,PC 17599,71.2833,C85,C,1
2,3,STON/O2. 3101282,7.925,,S,3
3,4,113803,53.1,C123,S,1
4,5,373450,8.05,,S,3
5,6,330877,8.4583,,Q,3
6,7,17463,51.8625,E46,S,1
7,8,349909,21.075,,S,3
8,9,347742,11.1333,,S,3
9,10,237736,30.0708,,C,2
10,11,PP 9549,16.7,G6,S,3
11,12,113783,26.55,C103,S,1
12,13,A/5. 2151,8.05,,S,3
13,14,347082,31.275,,S,3
14,15,350406,7.8542,,S,3
15,16,248706,16,,S,2
16,17,382652,29.125,,Q,3
17,18,244373,13,,S,2
18,19,345763,18,,S,3
19,20,2649,7.225,,C,3
20,21,239865,26,,S,2
21,22,248698,13,D56,S,2
22,23,330923,8.0292,,Q,3
23,24,113788,35.5,A6,S,1
24,25,349909,21.075,,S,3
25,26,347077,31.3875,,S,3
26,27,2631,7.225,,C,3
27,28,19950,263,C23 C25 C27,S,1
28,29,330959,7.8792,,Q,3
29,30,349216,7.8958,,S,3
30,31,PC 17601,27.7208,,C,1
31,32,PC 17569,146.5208,B78,C,1
32,33,335677,7.75,,Q,3
33,34,C.A. 24579,10.5,,S,2
34,35,PC 17604,82.1708,,C,1
35,36,113789,52,,S,1
36,37,2677,7.2292,,C,3
37,38,A./5. 2152,8.05,,S,3
38,39,345764,18,,S,3
39,40,2651,11.2417,,C,3
40,41,7546,9.475,,S,3
41,42,11668,21,,S,2
42,43,349253,7.8958,,C,3
43,44,SC/Paris 2123,41.5792,,C,2
44,45,330958,7.8792,,Q,3
45,46,S.C./A.4. 23567,8.05,,S,3
46,47,370371,15.5,,Q,3
47,48,14311,7.75,,Q,3
48,49,2662,21.6792,,C,3
49,50,349237,17.8,,S,3
50,51,3101295,39.6875,,S,3
51,52,A/4. 39886,7.8,,S,3
52,53,PC 17572,76.7292,D33,C,1
53,54,2926,26,,S,2
54,55,113509,61.9792,B30,C,1
55,56,19947,35.5,C52,S,1
56,57,C.A. 31026,10.5,,S,2
57,58,2697,7.2292,,C,3
58,59,C.A. 34651,27.75,,S,2
59,60,CA 2144,46.9,,S,3
60,61,2669,7.2292,,C,3
61,62,113572,80,B28,,1
62,63,36973,83.475,C83,S,1
63,64,347088,27.9,,S,3
64,65,PC 17605,27.7208,,C,1
65,66,2661,15.2458,,C,3
66,67,C.A. 29395,10.5,F33,S,2
67,68,S.P. 3464,8.1583,,S,3
68,69,3101281,7.925,,S,3
69,70,315151,8.6625,,S,3
70,71,C.A. 33111,10.5,,S,2
71,72,CA 2144,46.9,,S,3
72,73,S.O.C. 14879,73.5,,S,2
73,74,2680,14.4542,,C,3
74,75,1601,56.4958,,S,3
75,76,348123,7.65,F G73,S,3
76,77,349208,7.8958,,S,3
77,78,374746,8.05,,S,3
78,79,248738,29,,S,2
79,80,364516,12.475,,S,3
80,81,345767,9,,S,3
81,82,345779,9.5,,S,3
82,83,330932,7.7875,,Q,3
83,84,113059,47.1,,S,1
84,85,SO/C 14885,10.5,,S,2
85,86,3101278,15.85,,S,3
86,87,W./C. 6608,34.375,,S,3
87,88,SOTON/OQ 392086,8.05,,S,3
88,89,19950,263,C23 C25 C27,S,1
89,90,343275,8.05,,S,3
90,91,343276,8.05,,S,3
91,92,347466,7.8542,,S,3
92,93,W.E.P. 5734,61.175,E31,S,1
93,94,C.A. 2315,20.575,,S,3
94,95,364500,7.25,,S,3
95,96,374910,8.05,,S,3
96,97,PC 17754,34.6542,A5,C,1
97,98,PC 17759,63.3583,D10 D12,C,1
98,99,231919,23,,S,2
99,100,244367,26,,S,2
100,101,349245,7.8958,,S,3
101,102,349215,7.8958,,S,3
102,103,35281,77.2875,D26,S,1
103,104,7540,8.6542,,S,3
104,105,3101276,7.925,,S,3
105,106,349207,7.8958,,S,3
106,107,343120,7.65,,S,3
107,108,312991,7.775,,S,3
108,109,349249,7.8958,,S,3
109,110,371110,24.15,,Q,3
110,111,110465,52,C110,S,1
111,112,2665,14.4542,,C,3
112,113,324669,8.05,,S,3
113,114,4136,9.825,,S,3
114,115,2627,14.4583,,C,3
115,116,STON/O 2. 3101294,7.925,,S,3
116,117,370369,7.75,,Q,3
117,118,11668,21,,S,2
118,119,PC 17558,247.5208,B58 B60,C,1
119,120,347082,31.275,,S,3
120,121,S.O.C. 14879,73.5,,S,2
121,122,A4. 54510,8.05,,S,3
122,123,237736,30.0708,,C,2
123,124,27267,13,E101,S,2
124,125,35281,77.2875,D26,S,1
125,126,2651,11.2417,,C,3
126,127,370372,7.75,,Q,3
127,128,C 17369,7.1417,,S,3
128,129,2668,22.3583,F E69,C,3
129,130,347061,6.975,,S,3
130,131,349241,7.8958,,C,3
131,132,SOTON/O.Q. 3101307,7.05,,S,3
132,133,A/5. 3337,14.5,,S,3
133,134,228414,26,,S,2
134,135,C.A. 29178,13,,S,2
135,136,SC/PARIS 2133,15.0458,,C,2
136,137,11752,26.2833,D47,S,1
137,138,113803,53.1,C123,S,1
138,139,7534,9.2167,,S,3
139,140,PC 17593,79.2,B86,C,1
140,141,2678,15.2458,,C,3
141,142,347081,7.75,,S,3
142,143,STON/O2. 3101279,15.85,,S,3
143,144,365222,6.75,,Q,3
144,145,231945,11.5,,S,2
145,146,C.A. 33112,36.75,,S,2
146,147,350043,7.7958,,S,3
147,148,W./C. 6608,34.375,,S,3
148,149,230080,26,F2,S,2
149,150,244310,13,,S,2
150,151,S.O.P. 1166,12.525,,S,2
151,152,113776,66.6,C2,S,1
152,153,A.5. 11206,8.05,,S,3
153,154,A/5. 851,14.5,,S,3
154,155,Fa 265302,7.3125,,S,3
155,156,PC 17597,61.3792,,C,1
156,157,35851,7.7333,,Q,3
157,158,SOTON/OQ 392090,8.05,,S,3
158,159,315037,8.6625,,S,3
159,160,CA. 2343,69.55,,S,3
160,161,371362,16.1,,S,3
161,162,C.A. 33595,15.75,,S,2
162,163,347068,7.775,,S,3
163,164,315093,8.6625,,S,3
164,165,3101295,39.6875,,S,3
